MovieName	Genres	Director	Actors	Tagline	Summary	BoxOfficeBudget	BoxOfficeGross
Gangs of Wasseypur	Action|Crime|Drama	Anurag Kashyap	Manoj Bajpayee,	NA	A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.	 INR 184,000,000 (estimated)	NA
Yip Man	Action|Biography|Drama	Wilson Yip	Donnie Yen,	The celebrated Kung Fu master of Bruce Lee See more »	During the Japanese invasion of 1937, when a wealthy martial artist is forced to leave his home and work to support his family, he reluctantly agrees to train others in the art of Wing Chun for self-defense.	 $11,715,578 (estimated)	NA
The Martian	Adventure|Drama|Sci-Fi	Ridley Scott	Matt Damon,	Bring Him Home See more »	An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.	 $108,000,000 (estimated)	 $228,430,993 (USA)(11 March 2016)
Roman Holiday	Comedy|Romance	William Wyler	Gregory Peck,	Audrey Hepburn at her Oscar-winning best in an immortal comedy-romance! See more »	A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.	 $1,500,000 (estimated)	NA
Per un pugno di dollari	Action|Drama|Western	Sergio Leone	Clint Eastwood,	This short cigar belongs to a man with no name. This long gun belongs to a man with no name. This poncho belongs to a man with no name. He's going to trigger a whole new style in adventure. See more »	A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.	 $200,000 (estimated)	 $3,500,000 (USA)
Tenkû no shiro Rapyuta	Animation|Adventure|Family	Hayao Miyazaki	Anna Paquin,	NA	A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.	NA	NA
Guardians of the Galaxy	Action|Adventure|Sci-Fi	James Gunn	Chris Pratt,	When things get bad, they'll do their worst. See more »	A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.	 $170,000,000 (estimated)	 $333,130,696 (USA)(9 January 2015)
Fanny och Alexander	Drama	Ingmar Bergman	Bertil Guve,	En film av Ingmar Bergman	Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.	 $6,000,000 (estimated)	NA
The King's Speech	Biography|Drama	Tom Hooper	Colin Firth,	The Nation Awaits... See more »	The story of King George VI of the United Kingdom of Great Britain and Northern Ireland, his impromptu ascension to the throne and the speech therapist who helped the unsure monarch become worthy of it.	 $15,000,000 (estimated)	 $138,795,342 (USA)(10 June 2011)
The Avengers	Action|Sci-Fi|Thriller	Joss Whedon	Robert Downey Jr.,	Avengers Assemble!	Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.	 $220,000,000 (estimated)	 $623,279,547 (USA)(28 September 2012)
Paris, Texas	Drama	Wim Wenders	Harry Dean Stanton,	A place for dreams. A place for heartbreak. A place to pick up the pieces. See more »	Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.	 £1,162,000 (estimated)	NA
Beauty and the Beast	Animation|Family|Fantasy	Gary Trousdale,	Paige O'Hara,	For the first time in theatres in 3D (2012 3D re-release) See more »	Belle, whose father is imprisoned by the Beast, offers herself instead, unaware her captor to be an enchanted prince.	 $25,000,000 (estimated)	 $218,967,620 (USA)(4 May 2012)
Lagaan: Once Upon a Time in India	Adventure|Drama|Musical	Ashutosh Gowariker	Aamir Khan,	Once upon a time in India	The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.	 $6,000,000 (estimated)	NA
