MovieName	Genres	Director	Actors	Tagline	Summary	BoxOfficeBudget	BoxOfficeGross
How to Train Your Dragon	Animation|Action|Adventure	Dean DeBlois,	Jay Baruchel,	One adventure will change two worlds	A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.	 $165,000,000 (estimated)	 $217,387,997 (USA)(16 July 2010)
The Thing	Horror|Mystery|Sci-Fi	John Carpenter	Kurt Russell,	Man is The Warmest Place to Hide. See more »	It's the first week of winter in 1982. An American Research Base is greeted by an alien force, that can assimilate anything it touches. It's up to the members to stay alive, and be sure of who is human, and who has become one of the Things.	 $15,000,000 (estimated)	 $13,782,838 (USA)
No Country for Old Men	Crime|Drama|Thriller	Ethan Coen,	Tommy Lee Jones,	One opportunity can change your life. One mistake can destroy it. See more »	Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.	 $25,000,000 (estimated)	 $74,273,505 (USA)(4 April 2008)
Into the Wild	Adventure|Biography|Drama	Sean Penn	Emile Hirsch,	Into the heart Into the soul See more »	After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.	 $15,000,000 (estimated)	 $18,352,454 (USA)(21 March 2008)
Kill Bill: Vol	Action|Thriller	Quentin Tarantino	Uma Thurman,	This October, Go For The Kill See more »	The Bride wakens from a four-year coma. The child she carried in her womb is gone. Now she must wreak vengeance on the team of assassins who betrayed her - a team she was once part of.	 $30,000,000 (estimated)	 $70,098,138 (USA)(21 May 2004)
Mary and Max	Animation|Comedy|Drama	Adam Elliot	Toni Collette,	Sometimes perfect strangers make the best friends. See more »	A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.	 AUD 8,240,000 (estimated)	NA
Gone Girl	Crime|Drama|Mystery	David Fincher	Ben Affleck,	You don't know what you've got 'til it's... See more »	With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.	 $61,000,000 (estimated)	 $167,735,396 (USA)(6 February 2015)
Idi i smotri	Drama|War	Elem Klimov (as E. Klimov)	Aleksey Kravchenko,	NA	After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.	NA	NA
It Happened One Night	Comedy|Romance	Frank Capra	Clark Gable,	Together for the first time! See more »	A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.	 $325,000 (estimated)	NA
There Will Be Blood	Drama	Paul Thomas Anderson	Daniel Day-Lewis,	There Will Be Greed. There Will Be Vengeance. See more »	A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.	 $25,000,000 (estimated)	 $40,218,903 (USA)(25 April 2008)
Life of Brian	Comedy	Terry Jones	Graham Chapman,	A motion picture destined to offend nearly two thirds of the civilized world. And severely annoy the other third. See more »	Brian is born on the original Christmas, in the stable next door. He spends his life being mistaken for a messiah.	 $4,000,000 (estimated)	 $646,124 (USA)(22 October 2004)
The Message	Adventure|Biography|Drama	Moustapha Akkad	Anthony Quinn,	In four decades only four... "The Robe" "The Ten Commandments" "Ben-Hur" and now... For the first time...the vast, spectacular drama that changed the world! See more »	In the 7th century, Mohammed is visited by Angel Gabriel who urges him to lead the people of Mecca and worship God. But they're exiled in Medina before returning to Mecca to take up arms ...                    See full summary »	 $10,000,000 (estimated)	NA
Rush	Action|Biography|Drama	Ron Howard	Daniel Brühl,	Everyone's driven by something. See more »	The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.	 $38,000,000 (estimated)	 $26,903,709 (USA)(15 November 2013)
Hotel Rwanda	Drama|History|War	Terry George	Don Cheadle,	Based on a true story of a man who fought impossible odds to save everyone he could and created a place where hope survived. See more »	Paul Rusesabagina was a hotel manager who housed over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda.	 $17,500,000 (estimated)	 $23,472,900 (USA)(15 April 2005)
Platoon	Drama|War	Oliver Stone	Charlie Sheen,	The first casualty of war is innocence.	A young recruit in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.	 $6,000,000 (estimated)	 $137,963,328 (USA)
Le notti di Cabiria	Drama	Federico Fellini	Giulietta Masina,	From the star, producer and director of "La Strada" See more »	A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.	NA	 $752,045 (USA)(30 October 1998)
Network	Drama	Sidney Lumet	Faye Dunaway,	Prepare yourself for a perfectly outrageous motion picture! See more »	A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.	 $3,800,000 (estimated)	NA
Le salaire de la peur	Adventure|Drama|Thriller	Henri-Georges Clouzot	Yves Montand,	The complete restored version of the 1953 French classic [reissue] See more »	In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.	NA	NA
Shutter Island	Mystery|Thriller	Martin Scorsese	Leonardo DiCaprio,	Someone is missing. See more »	In 1954, a U.S. marshal investigates the disappearance of a murderess who escaped from a hospital for the criminally insane.	 $80,000,000 (estimated)	 $127,968,405 (USA)(4 June 2010)
